,patch,mean(reef_rate),sd(reef_rate)
1,119,4.984379457,2.003123311
2,57,7.434935554,2.46626685
3,71,12.46882736,3.137926952
4,78S,2.437799838,1.41774731
5,85,2.467429036,1.416752635
6,90stop,7.385575769,2.461660469
7,94North,7.389881951,2.418601483
8,94Urchin,4.928248565,1.987258558
9,Angel2,2.467000447,1.42102137
10,Biscuit,2.471214343,1.452444711
11,check1,2.469008808,1.413239976
12,check3,7.400717215,2.420135872
13,Check5,7.382409267,2.434675252
14,Cooda,2.467492145,1.403435128
15,Damsel,4.949051263,1.979017978
16,E1,12.4067422,3.204517952
17,E2,7.479772553,2.393816054
18,IMC,12.39068617,3.152647639
19,josh,2.472145839,1.400282267
20,Lakeisha,4.946865786,2.028509509
21,LS02,2.450736555,1.414997744
22,NEW2,4.907398651,2.001552793
23,NF15,12.37314201,3.204086524
24,NF17,14.81488213,3.412295369
25,Shit'sCreek,14.83601846,3.481645569