patch,species,mean,sd,se_10,patch_area,seagrass_area,umol_h_m2,umol_h_m2_sd,kgm2yr
119,dd,23.41661288,6.246686004,1.97537556,22.32645,29.4188,0.795974441,0.212336533,1.477492041
119,ft,58.03277565,9.96643389,3.151663124,22.32645,29.4188,1.972642516,0.338777717,1.245248682
57,dd,34.97016278,7.709592797,2.437987307,5.959557,33.61352,1.040360033,0.229359877,1.942921432
57,ft,46.66061623,9.059623249,2.864904421,5.959557,33.61352,1.388150251,0.269523193,0.87033899
71,dd,58.23818291,9.921432084,3.137432304,128.6388,182.2107,0.319619994,0.054450326,0.594805051
71,ft,81.73437974,11.48790563,3.632794733,128.6388,182.2107,0.448570692,0.063047371,0.279810939
78S,dd,11.66902035,4.385474163,1.386808698,36.03586,18.62352,0.626574372,0.235480412,2.09027545
78S,ft,139.699202,15.28854043,4.834660985,36.03586,10.18353,13.71815098,1.501300672,8.637562952
85,dd,11.68095129,4.403854189,1.392620972,31.93444,38.73354,0.301572004,0.113696145,0.56263523
85,ft,69.68428517,10.86545437,3.435958363,31.93444,38.73354,1.799068331,0.280517979,1.13403979
90stop,dd,34.73791385,7.70963069,2.43799929,124.6796291,296.108,0.117315013,0.02603655,0.219088275
90stop,ft,675.1033048,33.74682464,10.67168297,124.6796291,296.108,2.279922544,0.11396796,1.431964595
94North,dd,34.9229982,7.692511806,2.432585823,24.42634,62.49633,0.558800784,0.123087417,1.02765284
94North,ft,58.46751756,9.786913796,3.094893886,24.42634,62.49633,0.935535216,0.156599816,0.58439606
94Urchin,dd,23.1897671,6.231089953,1.970443656,59.30829,29.99752,0.773056143,0.20772017,1.445572169
94Urchin,ft,46.77970434,8.858276155,2.801232879,59.30829,29.99752,1.559452393,0.295300283,0.972359404
Angel2,dd,11.58537644,4.383406467,1.386154835,4.738043,24.90377,0.465205727,0.176013771,0.877774382
Angel2,ft,58.19806348,10.03459181,3.173216552,4.738043,24.90377,2.336917803,0.402934648,1.466309761
Biscuit,dd,11.70319185,4.547492931,1.43804353,13.83454,40.37443,0.289866429,0.112632994,0.538545248
Biscuit,ft,116.2600277,14.14879461,4.474241712,13.83454,40.37443,2.879545982,0.350439489,1.809799119
check1,dd,11.58309683,4.452584986,1.408031003,25.21333,64.09249,0.180724713,0.069471244,0.331319774
check1,ft,35.03924989,7.787723508,2.462694407,25.21333,64.09249,0.546698215,0.121507582,0.341215823
check3,dd,34.86602348,7.923664612,2.505682759,11.84431,13.65311,2.553705601,0.580356022,4.762750479
check3,ft,46.60183652,8.949046162,2.829936876,11.84431,13.65311,3.413276281,0.655458439,2.151160543
Check5,dd,34.81362617,7.890053856,2.495054105,18.87259,25.44888,1.367982645,0.310035407,2.524777039
Check5,ft,104.6056407,13.21890671,4.180185339,18.87259,25.44888,4.110422176,0.519429802,2.584138864
Cooda,dd,11.57974138,4.417893586,1.397060619,12.43398,15.09664,0.767040969,0.292640852,1.460186328
Cooda,ft,11.59758555,4.477539027,1.415922164,12.43398,15.09664,0.768222966,0.29659176,0.484959662
Damsel,dd,23.3002067,6.31870936,1.998151345,33.22996,22.23235,1.048031661,0.284212391,1.954711017
Damsel,ft,116.4470647,14.0234577,4.434606702,33.22996,22.23235,5.237730816,0.630768124,3.290506773
E1,dd,58.16824501,9.987467916,3.158314667,209.3391,119.6732,0.486059076,0.083456178,0.903560905
E1,ft,93.33988858,12.67945022,4.009594219,209.3391,119.6732,0.779956486,0.105950624,0.488669487
E2,dd,34.85783218,7.642758148,2.416852335,48.93935,170.3961,0.204569425,0.044852894,0.384683311
E2,ft,11.57459242,4.458155501,1.409792555,48.93935,170.3961,0.067927567,0.026163483,0.042957332
IMC,dd,58.19281205,10.03076317,3.172005829,24.57929,62.60658,0.929499935,0.160218992,1.734384972
IMC,ft,128.2820352,15.15379956,4.79205218,24.57929,62.60658,2.049018413,0.242048033,1.287142672
josh,dd,11.70396796,4.445180848,1.405689609,22.99789,47.1966,0.247983286,0.094184345,0.458847039
josh,ft,221.3501463,19.7511834,6.245872601,22.99789,47.1966,4.68995958,0.418487421,2.943785342
Lakeisha,dd,23.26224237,6.254077339,1.977712905,8.117698,23.39578,0.994292234,0.267316471,1.864359439
Lakeisha,ft,81.24480239,11.80809211,3.734046589,8.117698,23.39578,3.472626362,0.504710341,2.191147245
NEW2,dd,23.29174084,6.263702482,1.980756643,53.82779,84.21704,0.27656803,0.074375714,0.51550156
NEW2,ft,116.3244876,14.26875051,4.512175096,53.82779,84.21704,1.381246451,0.169428307,0.868108878
NF15,dd,58.12150387,10.06153543,3.18173687,13.90577,126.4689,0.459571514,0.079557389,0.850518106
NF15,ft,34.89402511,7.718568517,2.440825679,13.90577,126.4689,0.275909928,0.061031356,0.173807107
NF17,dd,69.75463814,10.85036819,3.431187694,71.81708,44.91432,1.553060096,0.24157926,2.880911256
NF17,ft,139.8589163,15.23270056,4.81700287,71.81708,44.91432,3.113904793,0.339150199,1.953043305
Shit'sCreek,dd,70.14526647,10.86054352,3.434405416,34.26308,39.76387,1.764045262,0.273125919,0.288839541
Shit'sCreek,ft,11.48537795,4.415762133,1.396386595,34.26308,39.76387,0.288839541,0.111049607,0.183026499