patch,h_mex_mean,a_aga_mean,h_mex_sd,a_aga_sd,seagrass_area,umolh_m2_hmex,umolh_m2_aaga,umolh_m2_sd_hmex,umolh_m2_sd_aaga
119,23.41661288,58.03277565,6.246686004,9.96643389,29.4188,0.795974441,1.972642516,0.212336533,0.338777717
57,34.97016278,46.66061623,7.709592797,9.059623249,33.61352,1.040360033,1.388150251,0.229359877,0.269523193
71,58.23818291,81.73437974,9.921432084,11.48790563,182.2107,0.319619994,0.448570692,0.054450326,0.063047371
74tall,0,245.0206212,0,20.41465567,24.19792,0,10.12568937,0,0.843653325
76S,0,151.3175367,0,16.09715534,18.62352,0,8.125077144,0,0.86434548
78S,11.66902035,139.699202,4.385474163,15.28854043,10.18353,1.145871849,13.71815098,0.43064381,1.501300672
85,11.68095129,69.68428517,4.403854189,10.86545437,38.73354,0.301572004,1.799068331,0.113696145,0.280517979
90stop,34.73791385,675.1033048,7.70963069,33.74682464,296.108,0.117315013,2.279922544,0.02603655,0.11396796
94north,34.9229982,58.46751756,7.692511806,9.786913796,62.49633,0.558800784,0.935535216,0.123087417,0.156599816
94urchin,23.1897671,46.77970434,6.231089953,8.858276155,29.99752,0.773056143,1.559452393,0.20772017,0.295300283
96,0,23.3246857,0,6.30628759,17.44099,0,1.337348723,0,0.361578534
angel2,11.58537644,58.19806348,4.383406467,10.03459181,24.90377,0.465205727,2.336917803,0.176013771,0.402934648
biscuit,11.70319185,116.2600277,4.547492931,14.14879461,40.37443,0.289866429,2.879545982,0.112632994,0.350439489
calgary,0,104.5279016,0,13.32483098,39.65982,0,2.635612103,0,0.3359781
check1,11.58309683,35.03924989,4.452584986,7.787723508,64.09249,0.180724713,0.546698215,0.069471244,0.121507582
check3,34.86602348,46.60183652,7.923664612,8.949046162,13.65311,2.553705601,3.413276281,0.580356022,0.655458439
check5,34.81362617,104.6056407,7.890053856,13.21890671,25.44888,1.367982645,4.110422176,0.310035407,0.519429802
cooda,11.57974138,11.59758555,4.417893586,4.477539027,15.09664,0.767040969,0.768222966,0.292640852,0.29659176
cow,0,23.22770967,0,6.28059044,5.274395,0,4.403862371,0,1.19076983
CT15,0,81.23525766,0,11.82944763,21.35382,0,3.804249435,0,0.55397337
damsel,23.3002067,116.4470647,6.31870936,14.0234577,22.23235,1.048031661,5.237730816,0.284212391,0.630768124
E1,58.16824501,93.33988858,9.987467916,12.67945022,119.6732,0.486059076,0.779956486,0.083456178,0.105950624
E2,34.85783218,11.57459242,7.642758148,4.458155501,170.3961,0.204569425,0.067927567,0.044852894,0.026163483
F5small,0,34.61822212,0,7.763481221,6.684508,0,5.178873616,0,1.161414007
FFA,0,163.52696,0,16.61536431,35.70084,0,4.580479339,0,0.465405417
IMC,58.19281205,128.2820352,10.03076317,15.15379956,62.60658,0.929499935,2.049018413,0.160218992,0.242048033
josh,11.70396796,221.3501463,4.445180848,19.7511834,47.1966,0.247983286,4.68995958,0.094184345,0.418487421
lakeisha,23.26224237,81.24480239,6.254077339,11.80809211,23.39578,0.994292234,3.472626362,0.267316471,0.504710341
LS02,11.52372883,0,4.398987952,0,43.75249,0.263384526,0,0.100542574,0
montreal,0,81.46302536,0,11.88597578,11.61592,0,7.013049794,0,1.023248764
new2,23.29174084,116.3244876,6.263702482,14.26875051,84.21704,0.27656803,1.381246451,0.074375714,0.169428307
nf15,58.12150387,34.89402511,10.06153543,7.718568517,126.4689,0.459571514,0.275909928,0.079557389,0.061031356
nf17,69.75463814,139.8589163,10.85036819,15.23270056,44.91432,1.553060096,3.113904793,0.24157926,0.339150199
shitscreek,70.14526647,11.48537795,10.86054352,4.415762133,39.76387,1.764045262,0.288839541,0.273125919,0.111049607
vancouver,0,34.9274585,0,7.840662465,66.56894,0,0.524681007,0,0.117782594